tracer,oxygen,treatment,time,metabolite,isotope,mean,se
q5,0.5%,None,48,AKG,M2,0.009316971890951717,4.1141798627851125e-4
q5,0.5%,None,48,AKG,M3,0.027342721635789286,0.0020226844061594956
q5,0.5%,None,48,AKG,M4,0.01995828545204104,1.8132577552922258e-4
q5,0.5%,None,48,AKG,M5,0.7392885097576276,0.007950330890292442
glc2,21%,None,12,ALA,M0,0.8799872245999335,0.007439923788490747
glc2,21%,None,12,ALA,M1,0.010488406318498565,0.005337779200555119
glc2,21%,None,12,ALA,M2,0.11055351798710045,0.006241454575300078
glc2,21%,None,12,ALA,M3,6.422348654046543e-4,2.765172746269466e-4
glc2,21%,None,24,ALA,M0,0.7911230758532267,0.008532025281802334
glc2,21%,None,24,ALA,M1,0.0074131794606639885,0.003690509358452981
glc2,21%,None,24,ALA,M2,0.19779898382643094,0.00869779039259975
glc2,21%,None,24,ALA,M3,0.0019019274738013461,6.478557473675023e-4
glc2,21%,None,36,ALA,M0,0.7926786407382924,0.011081547750730699
glc2,21%,None,36,ALA,M1,0.004877140213814003,0.0028160249363425693
glc2,21%,None,36,ALA,M2,0.19954915258785572,0.006918688410559619
glc2,21%,None,36,ALA,M3,0.002657503835577625,2.5063824916544736e-4
glc2,21%,None,48,ALA,M0,0.7195734776792053,0.006970551019323224
glc2,21%,None,48,ALA,M1,0.008845601866859572,0.003396586442905053
glc2,21%,None,48,ALA,M2,0.26491437030936205,0.008008147217726141
glc2,21%,None,48,ALA,M3,0.003718016188953076,3.2364171963894945e-4
glc2,0.5%,None,12,ALA,M0,0.909620362957523,0.019684074788977542
glc2,0.5%,None,12,ALA,M1,4.497600720908292e-4,4.4976007209082924e-4
glc2,0.5%,None,12,ALA,M2,0.08690235643814799,0.014351931778098442
glc2,0.5%,None,12,ALA,M3,8.010320971415859e-4,3.3869618725977267e-4
glc2,0.5%,None,24,ALA,M0,0.8635921086494325,0.005819504683241239
glc2,0.5%,None,24,ALA,M1,0.008127311626982953,0.004083889894421573
glc2,0.5%,None,24,ALA,M2,0.12916263776374137,0.010768771822990669
glc2,0.5%,None,24,ALA,M3,7.365867322059864e-4,3.101625414465575e-4
glc2,0.5%,None,36,ALA,M0,0.7907830338519751,0.02398861125149105
glc2,0.5%,None,36,ALA,M1,0.01864714496290628,0.007516596517895856
glc2,0.5%,None,36,ALA,M2,0.19463943195441546,0.017039392008388523
glc2,0.5%,None,36,ALA,M3,0.0035696710433402805,0.0011337146942925313
glc2,0.5%,None,48,ALA,M0,0.8202714736023362,0.08999136849705398
glc2,0.5%,None,48,ALA,M1,0.01721574387103592,0.007915759882343968
glc2,0.5%,None,48,ALA,M2,0.16591060539316685,0.08319267305185506
glc2,0.5%,None,48,ALA,M3,0.005140946766894695,0.0014961465518426177
glc6,21%,None,12,ALA,M0,0.7358006200711992,0.010226613073525199
glc6,21%,None,12,ALA,M1,0,0
glc6,21%,None,12,ALA,M2,0.006514932819084642,6.475326047003715e-4
glc6,21%,None,12,ALA,M3,0.2795614693412411,0.008939986887909089
glc6,21%,None,24,ALA,M0,0.6238146993558973,0.02015052411341064
glc6,21%,None,24,ALA,M1,0,0
glc6,21%,None,24,ALA,M2,0.011257959087715864,7.625204292351774e-4
glc6,21%,None,24,ALA,M3,0.37160985246441325,0.025567869015630084
glc6,21%,None,36,ALA,M0,0.5651972627818272,0.008421065138903554
glc6,21%,None,36,ALA,M1,5.421010862427522e-19,3.5593843417360485e-19
glc6,21%,None,36,ALA,M2,0.013314979017950352,4.887628264159302e-4
glc6,21%,None,36,ALA,M3,0.4377810309749542,0.008149537966641212
glc6,21%,None,48,ALA,M0,0.5529615204639573,0.04094735126784964
glc6,21%,None,48,ALA,M1,0,0
glc6,21%,None,48,ALA,M2,0.016672834277358946,0.002378726342843396
glc6,21%,None,48,ALA,M3,0.44474949659916435,0.041078380608235335
glc6,0.5%,None,12,ALA,M0,0.7635370049382979,0.017503292003283218
glc6,0.5%,None,12,ALA,M1,0,0
glc6,0.5%,None,12,ALA,M2,0.00447442992974129,3.030790869076228e-4
glc6,0.5%,None,12,ALA,M3,0.24888149664717685,0.012639129150617146
glc6,0.5%,None,24,ALA,M0,0.7758745140737578,0.05022770169753228
glc6,0.5%,None,24,ALA,M1,0,0
glc6,0.5%,None,24,ALA,M2,0.005314755809103833,0.0011516158832022565
glc6,0.5%,None,24,ALA,M3,0.2385776557510571,0.051584339109663
glc6,0.5%,None,36,ALA,M0,0.5891147667119013,0.01618280764352029
glc6,0.5%,None,36,ALA,M1,5.782411586589357e-19,3.3384768860825764e-19
glc6,0.5%,None,36,ALA,M2,0.01215899089668075,4.263077347228301e-4
glc6,0.5%,None,36,ALA,M3,0.4166670890349108,0.015435679707729544
glc6,0.5%,None,48,ALA,M0,0.6164121536572087,0.03099755021969455
glc6,0.5%,None,48,ALA,M1,-6.341637068924895e-27,6.341637068924895e-27
glc6,0.5%,None,48,ALA,M2,0.008366520553672981,0.0031111667100719434
glc6,0.5%,None,48,ALA,M3,0.31625023979397826,0.05305646226513517
lac3,21%,None,12,ALA,M0,0.8113549038801225,0.00195769919182863
lac3,21%,None,12,ALA,M1,0.0020368977469886486,0.002036897746988649
lac3,21%,None,12,ALA,M2,0.0017577357992000471,5.169826073212372e-4
